answers;H;(H);(Hd);A;(A);Ad;At;Sex;Obj;Aobj;Aat;Food;N;Geo;Pi;Arch;Art;Abs;Bi;Ti;Ci
"Плетущийся краб, скрывающийся под песком на дне океана.";;;;1;;;;;;;;;;;;;;;;;
"Плавающий тюлень, играющий в воде с лёдками.";;;;1;;;;;;;;;;;;;;;;;
"Миловидная кошка, растягивающаяся в длину на мягком покрывале.";;;;1;;;;;;;;;;;;;;;;;
"Ослепительный попугай, расправляющий ярко-пёстрые крылья.";;;;1;;;;;;;;;;;;;;;;;
"Бодрствующая сова, пристально смотрящая на проходящую мышь.";;;;1;;;;;;;;;;;;;;;;;
"Лосёнок, пока упрямо стоит, изучая окружающий мир.";;;;1;;;;;;;;;;;;;;;;;
"Поднимающийся в воздух пеликан, клюв которого заслоняет солнце.";;;;1;;1;;;;;;;;;;;;;;;
"Подпрыгивающий заяц, играющий в прятки с травой.";;;;1;;;;;;;;;;;1;;;;;;
"Благородный гусь, шагающий по берегу озера в ожидании своего отряда.";;;;1;;;;;;;;;1;;;;;;;;
"Ошеломляющая улитка, украшенная сверкающими раковинами.";;;;1;;;;;;;;;;;;;;;;;
"мифологическое животное, чудовище, карикатура, рисунок животного";;;;;;;;;;;;;;;;;;;;;
"Рисунок величественного дракона, взмахивающего своими огненными крыльями.";;;;;1;;;;;;;;;;;;;;;;
"Изображение мифического змея с головой льва, телом дракона и хвостом скорпиона.";;;;;1;1;;;;;;;;;;;;;;;
Карикатурный портрет единорога с яркими цветами волос и веселым выражением лица.;;;;;1;1;;;;;;;;;;;;;;;
"Рисунок сказочного феникса, возносящегося в небеса на фоне пылающего заката.";;;;;1;;;;;;;;1;;;;;;;;
"Изображение мифического грифона с орлиной головой, крыльями и львиным телом.";;;;;1;1;;;;;;;;;;;;;;;
"Карикатурный портрет веселого кентавра, играющего на флейте и поднимающего настроение.";;;;;1;;;;;;;;;;;;;;;;
Рисунок морской чудовищной гидры с множеством голов и зловещим взглядом.;;;;;1;;;;;;;;;;;;;;;;
"Изображение мифического цербера, стоящего на страже врата подземного мира.";;;;;1;;;;;;;;;;;;;;;;
Карикатурный рисунок дружелюбного гоблина с большими ушами и веселым выражением лица.;;;;;1;;;;;;;;;;;;;;;;
"Рисунок мифического медузы с змеиными волосами и острыми глазами, окаменяющими взглядом.";;;;;1;;;;;;;;;;;;;;;;
"Изображение воинственного минотавра, держащего в руках топор и щит.";;;;;1;;;;1;;;;;;;;;;;;
"Карикатурный портрет веселого дракончика, играющего с огненными шарами.";;;;;1;;;;;;;;;;;;;;;;
"Рисунок мифического пегаса, взмахивающего своими крыльями в полете.";;;;;1;;;;;;;;;;;;;;;;
"Изображение страшного кербера, охраняющего вход в царство ада.";;;;;1;;;;;;;;;;;;;;;;
Карикатурный рисунок забавного грифона с огромным клювом и пушистыми крыльями.;;;;;1;;;;;;;;;;;;;;;;
"Рисунок мифического химеры с головой льва, телом козла и хвостом дракона.";;;;;1;1;;;;;;;;;;;;;;;
"Изображение загадочного кентавра, стоящего среди леса и наблюдающего за окружающим миром.";;;;;1;;;;;;;;1;;;;;;;;
Карикатурный портрет дружелюбного тролля с огромным носом и ушами.;;;;;1;;;;;;;;;;;;;;;;
Рисунок мифического василиска с острым хвостом и ядовитым взглядом.;;;;;1;;;;;;;;;;;;;;;;
"Изображение таинственного водяного духа, выходящего из глубин озера.";;;;;1;;;;;;;;;;;;;;;;
Карикатурный рисунок улыбающегося гнома с огромной шляпой и красным бородой.;;;;;1;;;;;;;;;;;;;;;;
"Рисунок мифического гарпии, парящей в воздухе с развернутыми крыльями.";;;;;1;;;;;;;;;;;;;;;;
"Изображение легендарного голема, созданного из камня и оживленного магией.";;;;;1;;;;;;;;;;;;;;;;
Карикатурный портрет забавного тролля с огромными клыками и морщинистым лицом.;;;;;1;;;;;;;;;;;;;;;;
Рисунок мифического змея Горгоны с острыми зубами и змеиными волосами.;;;;;1;;;;;;;;;;;;;;;;
"Изображение страшного басилиска, окаменевшего всех, кто осмеливается взглянуть ему в глаза.";;;;;1;;;;;;;;;;;;;;;;
Карикатурный рисунок смешного гнома с огромными ушами и крохотной шапочкой.;;;;;1;;;;;;;;;;;;;;;;
"Рисунок мифического валькириона, летящего на ветру с расправленными крыльями.";;;;;1;;;;;;;;;;;;;;;;
"Изображение загадочного леший, скрывающегося в глубинах леса.";;;;;1;;;;;;;;1;;;;;;;;
Карикатурный портрет веселого гарпии с мягкими перьями и улыбающимся лицом.;;;;;1;;;;;;;;;;;;;;;;
"Рисунок мифического кентавра-лучника, прицеливающегося из своего лука.";;;;;1;;;;1;;;;;;;;;;;;
"Изображение мрачного гула, стоящего на краю пропасти и смотрящего вниз.";;;;;1;;;;;;;;;;;;;;;;
Карикатурный рисунок забавного водяного духа с водорослями в волосах и улыбкой на лице.;;;;;1;;;;;;;;;;;;;;;;
"Рисунок мифического кербера, стоящего перед входом в подземный мир.";;;;;1;;;;;;;;;;;;;;;;
